chip_peak_id	nearby_BCOR_in_adult	nearby_BCOR_in_P0
CRX.1484	0	0
CRX.1485	0	0
CRX.1490	0	0
CRX.1496	0	0
CRX.1505	0	0
CRX.1511	0	0
CRX.1512	0	0
CRX.1520	0	0
CRX.1521	0	0
CRX.1525	0	0
CRX.1528	0	0
CRX.1529	1	2
CRX.1530	0	0
CRX.1531	0	0
CRX.1536	0	0
CRX.1538	0	0
CRX.1543	0	0
CRX.1550	0	2
CRX.1554	0	2
CRX.1557	1	0
CRX.1561	0	0
CRX.1562	0	0
CRX.1565	0	0
CRX.1566	0	0
CRX.1572	0	0
CRX.1579	1	0
CRX.1580	0	0
CRX.1581	0	0
CRX.1585	0	0
CRX.1588	1	0
CRX.1591	0	0
CRX.1593	2	2
CRX.1594	0	0
CRX.1595	0	0
CRX.1601	0	0
CRX.1605	2	0
CRX.1608	0	0
CRX.1609	0	0
CRX.1610	0	0
CRX.1611	0	0
CRX.1620	0	0
CRX.1627	0	0
CRX.1630	0	0
CRX.1633	2	2
CRX.1635	0	0
CRX.1643	0	0
CRX.1653	0	0
CRX.1657	0	0
CRX.1659	0	1
CRX.1661	0	0
CRX.1665	0	2
CRX.1668	0	0
CRX.1671	2	2
CRX.1672	0	0
CRX.1684	0	0
CRX.1685	0	0
CRX.1692	0	0
CRX.1695	0	0
CRX.1697	0	0
CRX.1699	0	0
CRX.1703	2	0
CRX.1704	0	0
CRX.1707	0	0
CRX.1709	0	0
CRX.1710	0	0
CRX.1711	1	0
CRX.1716	1	0
CRX.1719	1	0
CRX.1722	0	0
CRX.1726	0	0
CRX.1727	0	0
CRX.1728	0	0
CRX.1730	0	0
CRX.1744	0	0
CRX.1745	0	0
CRX.1754	0	0
CRX.1763	1	0
CRX.1768	1	0
CRX.1770	0	0
CRX.1773	0	0
CRX.1777	0	0
CRX.1780	0	0
CRX.1781	0	0
CRX.1782	2	2
CRX.1787	1	2
CRX.1789	0	2
CRX.1792	0	2
CRX.1793	2	2
CRX.1794	0	1
CRX.1795	0	0
CRX.1796	1	0
CRX.1804	0	0
CRX.1807	0	0
CRX.1812	0	1
CRX.1814	0	0
CRX.1818	0	0
CRX.1819	0	0
CRX.1822	0	0
CRX.1823	2	0
CRX.1826	0	0
CRX.1829	0	0
CRX.1831	0	0
CRX.1835	0	0
CRX.1836	1	0
CRX.1839	0	0
CRX.1841	0	0
CRX.1852	0	0
CRX.1857	2	1
CRX.1858	0	0
CRX.1864	0	0
CRX.1868	0	0
CRX.1874	1	2
CRX.1884	0	0
CRX.1890	0	0
CRX.1894	0	0
CRX.1896	0	2
CRX.1899	0	0
CRX.1907	0	0
CRX.1914	0	0
CRX.1917	2	1
CRX.1920	1	1
CRX.1922	0	0
CRX.1923	0	0
CRX.1925	0	0
CRX.1928	0	0
CRX.1929	0	0
CRX.1932	0	0
CRX.1936	0	0
CRX.1938	0	0
CRX.1940	0	1
CRX.1941	0	0
CRX.1942	0	0
CRX.1944	1	0
CRX.1946	2	0
CRX.1947	2	0
CRX.1949	0	0
CRX.1950	0	0
CRX.1953	0	0
CRX.1954	0	0
CRX.1956	1	0
CRX.1957	0	0
CRX.1963	1	0
CRX.1966	0	0
CRX.1972	0	0
CRX.1973	0	0
CRX.1974	1	3
CRX.1975	0	0
CRX.1976	0	0
CRX.1987	0	0
CRX.1989	0	0
CRX.1991	0	0
CRX.1992	0	0
CRX.1994	0	0
CRX.1999	0	0
CRX.2000	1	0
CRX.2001	0	2
CRX.2003	0	0
CRX.2004	0	0
CRX.2005	0	0
CRX.2013	0	0
CRX.2018	1	2
CRX.2022	0	0
CRX.2024	0	0
CRX.2041	0	0
CRX.2044	0	0
CRX.2050	0	1
CRX.2054	0	0
CRX.2055	0	0
CRX.2061	0	0
CRX.2064	0	0
CRX.2068	0	0
CRX.2070	0	1
CRX.2071	1	2
CRX.2072	0	0
CRX.2075	0	0
CRX.2076	0	0
CRX.2077	0	0
CRX.2081	0	0
CRX.2082	0	0
CRX.2084	0	0
CRX.2088	0	0
CRX.2092	0	0
CRX.2100	0	1
CRX.2104	0	0
CRX.2106	0	0
CRX.2108	1	0
CRX.2114	0	0
CRX.2116	0	0
CRX.2118	0	0
CRX.2122	0	0
CRX.2123	0	2
CRX.2124	0	0
CRX.2131	0	0
CRX.2137	0	2
CRX.2139	0	0
CRX.2140	0	0
CRX.2141	0	0
CRX.2149	0	0
CRX.2152	0	0
CRX.2156	0	0
CRX.2158	1	2
CRX.2161	0	0
CRX.2162	0	0
CRX.2165	0	0
CRX.2173	0	0
CRX.2175	1	2
CRX.2180	1	0
CRX.2181	2	1
CRX.2184	0	0
CRX.2185	0	0
CRX.2197	0	0
CRX.2198	1	0
CRX.2200	0	0
CRX.2201	0	0
CRX.2202	0	0
CRX.2206	0	0
CRX.2207	0	0
CRX.2208	0	0
CRX.2209	0	0
CRX.2210	0	0
CRX.2211	0	0
CRX.2212	0	0
CRX.2213	0	0
CRX.2220	1	0
CRX.2222	0	0
CRX.2224	0	0
CRX.2230	0	2
CRX.2235	0	0
CRX.2242	0	0
CRX.2245	0	0
CRX.2258	0	0
CRX.2265	0	0
CRX.2268	0	0
CRX.2269	0	0
CRX.2273	0	0
CRX.2275	0	0
CRX.2281	2	0
CRX.2285	2	2
CRX.2288	0	2
CRX.2297	0	0
CRX.2298	0	0
CRX.2299	0	0
CRX.2301	2	2
CRX.2313	0	0
CRX.2315	1	0
CRX.2325	1	0
CRX.2330	1	2
CRX.2334	0	2
CRX.2337	0	0
CRX.2345	0	0
CRX.2353	0	0
CRX.2355	0	0
CRX.2356	0	0
CRX.2360	1	1
CRX.2363	0	0
CRX.2370	0	0
CRX.2376	0	0
CRX.2380	0	0
CRX.2381	2	2
CRX.2382	2	2
CRX.2386	0	0
CRX.2388	0	0
CRX.2393	0	1
CRX.2399	0	1
CRX.2400	1	0
CRX.2407	0	0
CRX.2408	0	0
CRX.2409	1	0
CRX.2413	0	0
CRX.2417	0	0
CRX.2419	0	2
CRX.2425	0	0
CRX.2426	0	2
CRX.2427	0	0
CRX.2431	0	0
CRX.2435	0	0
CRX.2438	1	0
